1.0000000,-0.7243963,0.9999797
-1.0000000,-0.9999794,-0.9968117
1.0000000,1.0000000,1.0000000
-1.0000000,-1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
-1.0000000,1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,-1.0000000,1.0000000
-1.0000000,1.0000000,-1.0000000
-1.0000000,1.0000000,-1.0000000
-1.0000000,1.0000000,-1.0000000
1.0000000,-1.0000000,0.9999999
1.0000000,1.0000000,1.0000000
-1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,-1.0000000
-1.0000000,-1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,-1.0000000
-1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,-0.9985436
-1.0000000,-1.0000000,-0.9999563
-1.0000000,1.0000000,-1.0000000
-0.9999546,-0.9769738,1.0000000
1.0000000,1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,-1.0000000
1.0000000,1.0000000,-1.0000000
-1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,-1.0000000
1.0000000,-1.0000000,1.0000000
-1.0000000,1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
-1.0000000,1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,0.9958977
-1.0000000,0.9999999,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,0.9999982
1.0000000,-1.0000000,-0.8412514
1.0000000,1.0000000,1.0000000
-1.0000000,-1.0000000,-1.0000000
1.0000000,1.0000000,0.9794397
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
-1.0000000,1.0000000,-0.9355369
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,-1.0000000
1.0000000,-1.0000000,1.0000000
1.0000000,-1.0000000,1.0000000
1.0000000,-1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,-1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
1.0000000,1.0000000,1.0000000
-1.0000000,1.0000000,-1.0000000
-1.0000000,1.0000000,-1.0000000
